date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:52	100/100	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/german.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/german.png	(from https://www.mcadventuretime.com/dc/)
10:50:52	1178/1178	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/arabic.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/arabic.png	(from https://www.mcadventuretime.com/dc/)
10:50:53	137/137	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/russian.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/russian.png	(from https://www.mcadventuretime.com/dc/)
10:50:53	312/312	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/france.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/france.png	(from https://www.mcadventuretime.com/dc/)
10:50:53	534/534	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/india.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/india.png	(from https://www.mcadventuretime.com/dc/)
10:50:53	683/683	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/azerbaycan.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/azerbaycan.png	(from https://www.mcadventuretime.com/dc/)
10:50:54	339/339	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Mar%202020%2019:33:34%20GMT	https://www.mcadventuretime.com/dc/images/turkish.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/turkish.png	(from https://www.mcadventuretime.com/dc/)
10:50:54	331748/331748	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202020%2015:30:56%20GMT	https://www.mcadventuretime.com/dc/images/logu2.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/logu2.png	(from https://www.mcadventuretime.com/dc/)
10:51:07	43813/43813	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2019:30:29%20GMT	https://www.mcadventuretime.com/dc/images/zulafenomen.jpg	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/zulafenomen.jpg	(from https://www.mcadventuretime.com/dc/)
10:51:10	109943/109943	---MC-	200	added ('OK')	text/javascript	date:Fri,%2027%20Mar%202020%2007:51:02%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/mc-at%20sitesi/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.mcadventuretime.com/dc/)
10:51:10	25087/25087	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2015:17:08%20GMT	https://www.mcadventuretime.com/dc/images/halilorenler.jpg	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/halilorenler.jpg	(from https://www.mcadventuretime.com/dc/)
